Absidia_glauca.AG_v1.pep.all.fa,4829,DNA,1
Acidomyces_richmondensis.ASM157207v1.pep.all.fa,245562,DNA,1
Acidomyces_richmondensis_bfw.Acidomyces_richmondensis_BFW_v1.0.pep.all.fa,766039,DNA,1
Acremonium_chrysogenum_atcc_11550.ASM76926v1.pep.all.fa,857340,DNA,1
Agaricus_bisporus_var_burnettii_jb137_s8.Agabi_varbur_1.pep.all.fa,597362,DNA,1
Allomyces_macrogynus_atcc_38327.A_macrogynus_V3.pep.all.fa,578462,DNA,1
Alternaria_alternata.Altal1.pep.all.fa,5599,DNA,1
Amanita_muscaria_koide_bx008.Amanita_muscaria_Koide_BX008_v1.0.pep.all.fa,946122,DNA,1
Amphiamblys_sp_wsbs2006.ASM187567v1.pep.all.fa,1866961,DNA,1
Anncaliia_algerae_pra109.Annc_alge_PRA109_V4.pep.all.fa,1240240,DNA,1
Anncaliia_algerae_pra339.Annc_alge_insect_USDA_JJB_V2.pep.all.fa,1288291,DNA,1
Anthracocystis_flocculosa_pf_1.Pflocc_1.0.pep.all.fa,1277687,DNA,1
Arthrobotrys_oligospora_atcc_24927.AOL24927_1.0.pep.all.fa,756982,DNA,1
Arthroderma_otae_cbs_113480.ASM15114v1.pep.all.fa,554155,DNA,1
Aschersonia_aleyrodis_rcef_2490.AAL_1.0.pep.all.fa,1081109,DNA,1
Ascochyta_rabiei.AscRab1.0.pep.all.fa,5454,DNA,1
Ascoidea_rubescens_dsm_1968.Ascru1.pep.all.fa,1344418,DNA,1
Ascosphaera_apis_arsef_7405.AAP_1.0.pep.all.fa,392613,DNA,1
Ashbya_gossypii.ASM9102v1.pep.all.fa,284811,DNA,1
Aspergillus_aculeatus_atcc_16872.Aspac1.pep.all.fa,690307,DNA,1
Aspergillus_bombycis.ASM179269v1.pep.all.fa,109264,DNA,1
Aspergillus_brasiliensis_cbs_101740.Aspbr1.pep.all.fa,767769,DNA,1
Aspergillus_calidoustus.Acal_Allpaths_LG.pep.all.fa,454130,DNA,1
Aspergillus_carbonarius_item_5010.Aspca3.pep.all.fa,602072,DNA,1
Aspergillus_clavatus.CADRE.pep.all.fa,344612,DNA,1
Aspergillus_cristatus.ASM171748v1.pep.all.fa,573508,DNA,1
Aspergillus_flavus_af70.ASM95283v1.pep.all.fa,1392242,DNA,1
Aspergillus_flavus.JCVI-afl1-v2.0.pep.all.fa,332952,DNA,1
Aspergillus_fumigatus.CADRE.pep.all.fa,330879,DNA,1
Aspergillus_fumigatus_var_rp_2014.AspFumNiv1.0.pep.all.fa,451804,DNA,1
Aspergillus_fumigatus_z5.ASM102932v1.pep.all.fa,1437362,DNA,1
Aspergillus_fumigatusa1163.CADRE.pep.all.fa,1476192,DNA,1
Aspergillus_glaucus_cbs_516_65.Aspgl1.pep.all.fa,1160497,DNA,1
Aspergillus_lentulus.Alt_assembly01.pep.all.fa,293939,DNA,1
Aspergillus_luchuensis.AspL_2604.pep.all.fa,1069201,DNA,1
Aspergillus_luchuensis_cbs_106_47.Aspfo1.pep.all.fa,1137211,DNA,1
Aspergillus_nidulans_fgsc_a4.ASM14920v2.pep.all.fa,227321,DNA,1
Aspergillus_niger_atcc_1015.ASPNI_v3.0.pep.all.fa,380704,DNA,1
Aspergillus_niger.ASM285v2.pep.all.fa,1451139,DNA,1
Aspergillus_nomius_nrrl_13137.ASM120477v1.pep.all.fa,1509407,DNA,1
Aspergillus_ochraceoroseus.ASM98666v1.pep.all.fa,138278,DNA,1
Aspergillus_oryzae_100_8.Aspergillus_oryzae_100-8.pep.all.fa,1197718,DNA,1
Aspergillus_oryzae_3_042.AspOry3042.pep.all.fa,1160506,DNA,1
Aspergillus_oryzae.ASM18445v3.pep.all.fa,510516,DNA,1
Aspergillus_parasiticus_su_1.ASM95608v1.pep.all.fa,1403190,DNA,1
Aspergillus_rambellii.ASM98664v1.pep.all.fa,308745,DNA,1
Aspergillus_ruber_cbs_135680.Eurhe1.pep.all.fa,1388766,DNA,1
Aspergillus_sydowii_cbs_593_65.Aspsy1.pep.all.fa,1036612,DNA,1
Aspergillus_terreus.CADRE.pep.all.fa,341663,DNA,1
Aspergillus_tubingensis_cbs_134_48.Asptu1.pep.all.fa,767770,DNA,1
Aspergillus_udagawae.Aud_assembly01.pep.all.fa,91492,DNA,1
Aspergillus_ustus.Austus1.0.pep.all.fa,40382,DNA,1
Aspergillus_versicolor_cbs_583_65.Aspve1.pep.all.fa,1036611,DNA,1
Aspergillus_wentii_dto_134e9.Aspwe1.pep.all.fa,1073089,DNA,1
Aureobasidium_melanogenum_cbs_110374.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0.pep.all.fa,1043003,DNA,1
Aureobasidium_namibiae_cbs_147_97.Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0.pep.all.fa,1043004,DNA,1
Aureobasidium_pullulans_exf_150.Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0.pep.all.fa,1043002,DNA,1
Babjeviella_inositovora_nrrl_y_12698.Babin1.pep.all.fa,984486,DNA,1
Batrachochytrium_dendrobatidis_jam81.v1.0.pep.all.fa,684364,DNA,1
Batrachochytrium_dendrobatidis_jel423.BD_JEL423.pep.all.fa,403673,DNA,1
Batrachochytrium_salamandrivorans.Batr_sala_BS_V1.pep.all.fa,1357716,DNA,1
Baudoinia_panamericana_uamh_10762.Bauco1.pep.all.fa,717646,DNA,1
Beauveria_bassiana.ASM168263v1.pep.all.fa,176275,DNA,1
Beauveria_bassiana_arsef_2860.ASM28067v1.pep.all.fa,655819,DNA,1
Beauveria_bassiana_d1_5.BBA1.0.pep.all.fa,1245745,DNA,1
Bipolaris_maydis_atcc_48331.CocheC4_1.pep.all.fa,665024,DNA,1
Bipolaris_maydis_c5.CocheC5_3.pep.all.fa,701091,DNA,1
Bipolaris_oryzae_atcc_44560.Cochliobolus_miyabeanus_v1.0.pep.all.fa,930090,DNA,1
Bipolaris_sorokiniana_nd90pr.Cocsa1.pep.all.fa,665912,DNA,1
Bipolaris_victoriae_fi3.Cochliobolus_victoriae_v1.0.pep.all.fa,930091,DNA,1
Bipolaris_zeicola_26_r_13.Cochliobolus_carbonum_v1.0.pep.all.fa,930089,DNA,1
Blastomyces_dermatitidis_atcc_18188.BD_ATCC18188_V1.pep.all.fa,653446,DNA,1
Blastomyces_dermatitidis_atcc_26199.BD_ATCC26199_V2.pep.all.fa,447095,DNA,1
Blastomyces_dermatitidis_er_3.BD_ER3_V1.pep.all.fa,559297,DNA,1
Blastomyces_gilchristii_slh14081.BD_SLH14081_V1.pep.all.fa,559298,DNA,1
Blastomyces_percursus.Blas_perc_EI222_V1.pep.all.fa,1658174,DNA,1
Blumeria_graminis.EF1.pep.all.fa,546991,DNA,1
Blumeria_graminis_f_sp_tritici_96224.Bgt_454_newbler_assembly.pep.all.fa,1268274,DNA,1
Botryobasidium_botryosum_fd_172_ss1.Botbo1.pep.all.fa,930990,DNA,1
Botrytis_cinerea.ASM83294v1.pep.all.fa,332648,DNA,1
Botrytis_cinerea_bcdw1.BcDW1.pep.all.fa,1290391,DNA,1
Botrytis_cinerea_t4.BotFuc_Mar2011.pep.all.fa,999810,DNA,1
Brettanomyces_bruxellensis_awri1499.AWRI1499_v1.0.pep.all.fa,1124627,DNA,1
Byssochlamys_spectabilis_no_5.PVAR5_assembly01.pep.all.fa,1356009,DNA,1
Calocera_cornea_hhb12733.Calco1.pep.all.fa,1353952,DNA,1
Calocera_viscosa_tufc12733.Calvi1.pep.all.fa,1330018,DNA,1
Candida_albicans_12c.Cand_albi_12C_V2.pep.all.fa,1094981,DNA,1
Candida_albicans_19f.Cand_albi_19F_V2.pep.all.fa,1094987,DNA,1
Candida_albicans_ca6.Cand_albi_Ca6_V2.pep.all.fa,1165368,DNA,1
Candida_albicans_gc75.Cand_albi_GC75_V1.pep.all.fa,1094988,DNA,1
Candida_albicans_l26.Cand_albi_L26_V2.pep.all.fa,1094982,DNA,1
Candida_albicans_p34048.Cand_albi_P34048_V1.pep.all.fa,1094991,DNA,1
Candida_albicans_p37005.Cand_albi_P37005_V2.pep.all.fa,1094985,DNA,1
Candida_albicans_p37037.Cand_albi_P37037_V1.pep.all.fa,1094992,DNA,1
Candida_albicans_p37039.Cand_albi_P37039_V1.pep.all.fa,1094993,DNA,1
Candida_albicans_p57055.Cand_albi_P57055_V1.pep.all.fa,1094996,DNA,1
Candida_albicans_p57072.Cand_albi_P57072_V1.pep.all.fa,1094990,DNA,1
Candida_albicans_p60002.Cand_albi_P60002_V1.pep.all.fa,1094986,DNA,1
Candida_albicans_p75010.Cand_albi_P75010_V1.pep.all.fa,1094994,DNA,1
Candida_albicans_p75016.Cand_albi_P75016_V1.pep.all.fa,1094995,DNA,1
Candida_albicans_p75063.Cand_albi_P75063_V1.pep.all.fa,1094997,DNA,1
Candida_albicans_p76055.Cand_albi_P76055_V1.pep.all.fa,1094998,DNA,1
Candida_albicans_p76067.Cand_albi_P76067_V1.pep.all.fa,1094999,DNA,1
Candida_albicans_p78042.Cand_albi_P78042_V1.pep.all.fa,1095000,DNA,1
Candida_albicans_p78048.Cand_albi_P78048_V1.pep.all.fa,1094989,DNA,1
Candida_albicans_p87.Cand_albi_P87_V2.pep.all.fa,1094984,DNA,1
Candida_albicans_p94015.Cand_albi_P94015_V1.pep.all.fa,1094983,DNA,1
Candida_albicans_sc5314.Cand_albi_SC5314_V4.pep.all.fa,237561,DNA,1
Candida_albicans_wo_1.ASM14944v2.pep.all.fa,294748,DNA,1
Candida_arabinofermentans_nrrl_yb_2248.Canar1.pep.all.fa,983967,DNA,1
_candida_auris.ASM118947v1.pep.all.fa,498019,DNA,1
Candida_dubliniensis_cd36.ASM2694v1.pep.all.fa,573826,DNA,1
_candida_glabrata.ASM254v2.pep.all.fa,284593,DNA,1
_candida_intermedia.CBS_141442_assembly.pep.all.fa,45354,DNA,1
Candida_maltosa_xu316.Cmaltosa_v01.pep.all.fa,1245528,DNA,1
Candida_orthopsilosis_co_90_125.ASM31587v1.pep.all.fa,1136231,DNA,1
Candida_parapsilosis_cdc317.ASM18276v2.pep.all.fa,578454,DNA,1
Candida_tanzawaensis_nrrl_y_17324.Canta1.pep.all.fa,984487,DNA,1
_candida_tenuis_atcc_10573.Candida_tenuis_v1.0.pep.all.fa,590646,DNA,1
Candida_tropicalis_mya_3404.ASM633v2.pep.all.fa,294747,DNA,1
Capronia_coronata_cbs_617_96.Capr_coro_CBS_617_96_V1.pep.all.fa,1182541,DNA,1
Capronia_epimyces_cbs_606_96.Capr_epim_CBS_606_96_V1.pep.all.fa,1182542,DNA,1
Ceraceosorus_bombacis.Ceraceosorus_bombacis.pep.all.fa,401625,DNA,1
Ceratocystis_platani.ASM97888v1.pep.all.fa,88771,DNA,1
Chaetomium_globosum_cbs_148_51.ASM14336v1.pep.all.fa,306901,DNA,1
Chaetomium_thermophilum_var_thermophilum_dsm_1495.CTHT_3.0.pep.all.fa,759272,DNA,1
Choanephora_cucurbitarum.ASM168372v1.pep.all.fa,101091,DNA,1
Cladophialophora_bantiana_cbs_173_52.Clad_bant_CBS_173_52_V1.pep.all.fa,1442370,DNA,1
Cladophialophora_carrionii.ASM170077v1.pep.all.fa,86049,DNA,1
Cladophialophora_carrionii_cbs_160_54.Clad_carr_CBS_160_54_V1.pep.all.fa,1279043,DNA,1
Cladophialophora_immunda.Clad_immu_CBS83496_V1.pep.all.fa,569365,DNA,1
Cladophialophora_psammophila_cbs_110553.Clad_psam_CBS_110553_V1.pep.all.fa,1182543,DNA,1
Cladophialophora_yegresii_cbs_114405.Clad_yegr_CBS_114405_V1.pep.all.fa,1182544,DNA,1
Claviceps_purpurea_20_1.ASM34735v1.pep.all.fa,1111077,DNA,1
Clavispora_lusitaniae_atcc_42720.ASM383v1.pep.all.fa,306902,DNA,1
Coccidioides_immitis_h538_4.ASM14981v1.pep.all.fa,396776,DNA,1
Coccidioides_immitis_rmscc_2394.ASM14989v1.pep.all.fa,404692,DNA,1
Coccidioides_immitis_rmscc_3703.ASM15008v1.pep.all.fa,454286,DNA,1
Coccidioides_immitis_rs.ASM14933v2.pep.all.fa,246410,DNA,1
Coccidioides_posadasii_c735_delta_sowgp.JCVI-cpa1-1.0.pep.all.fa,222929,DNA,1
Coccidioides_posadasii_rmscc_3488.ASM15005v1.pep.all.fa,454284,DNA,1
Coccidioides_posadasii_str_silveira.CPS2.pep.all.fa,443226,DNA,1
Colletotrichum_chlorophyti.ASM193710v1.pep.all.fa,708187,DNA,1
Colletotrichum_fioriniae_pj7.CFIO01.pep.all.fa,1445577,DNA,1
Colletotrichum_gloeosporioides_cg_14.Colletotrichum_gloeosporioides1.pep.all.fa,1237896,DNA,1
Colletotrichum_gloeosporioides.GCA_000319635.1.pep.all.fa,1213859,DNA,1
Colletotrichum_graminicola.C_graminicola_M1_001_V1.pep.all.fa,645133,DNA,1
Colletotrichum_higginsianum_imi_349063.ASM167251v1.pep.all.fa,759273,DNA,1
Colletotrichum_incanum.Ci238704v1.pep.all.fa,1573173,DNA,1
Colletotrichum_nymphaeae_sa_01.CNYM01.pep.all.fa,1460502,DNA,1
Colletotrichum_orbiculare.GCA_000350065.1.pep.all.fa,1213857,DNA,1
Colletotrichum_orchidophilum.CORC01.pep.all.fa,1209926,DNA,1
Colletotrichum_salicis.CSAL01.pep.all.fa,1209931,DNA,1
Colletotrichum_simmondsii.CSIM01.pep.all.fa,703756,DNA,1
Colletotrichum_sublineola.ASM69613v1.pep.all.fa,1173701,DNA,1
Colletotrichum_tofieldiae.Ct0861v1.pep.all.fa,708197,DNA,1
Conidiobolus_coronatus_nrrl_28638.Conidiobolus_coronatus_NRRL28638.pep.all.fa,796925,DNA,1
Coniochaeta_ligniaria_nrrl_30616.Conlig_v1.0.pep.all.fa,1408157,DNA,1
Coniophora_puteana_rwd_64_598_ss2.Conpu1.pep.all.fa,741705,DNA,1
Coniosporium_apollinis_cbs_100218.Coni_apol_CBS100218_V1.pep.all.fa,1168221,DNA,1
Coprinopsis_cinerea_okayama7_130.CC3.pep.all.fa,240176,DNA,1
Cordyceps_brongniartii_rcef_3172.BBO_1.0.pep.all.fa,1081107,DNA,1
Cordyceps_confragosa.ASM165321v1.pep.all.fa,1105325,DNA,1
Cordyceps_confragosa_rcef_1005.LEL_1.0.pep.all.fa,1081108,DNA,1
Cordyceps_militaris_cm01.CmilitarisCM01_v01.pep.all.fa,983644,DNA,1
Cryptococcus_amylolentus_cbs_6039.Cryp_amyl_CBS6039_V3.pep.all.fa,1295533,DNA,1
Cryptococcus_amylolentus_cbs_6273.Cryp_amyl_CBS6273_V2.pep.all.fa,1296118,DNA,1
Cryptococcus_depauperatus_cbs_7841.Filo_depa_CBS7841_V1.pep.all.fa,1295531,DNA,1
Cryptococcus_depauperatus_cbs_7855.Filo_depa_CBS7855_V2.pep.all.fa,1295532,DNA,1
Cryptococcus_gattii_ca1280.Cryp_gatt_CA1280_V1.pep.all.fa,1296109,DNA,1
Cryptococcus_gattii_ca1873.Cryp_gatt_CA1873_V1.pep.all.fa,1296111,DNA,1
Cryptococcus_gattii_e566.Cryp_gatt_E566_V1.pep.all.fa,1296102,DNA,1
Cryptococcus_gattii_ejb2.Cryp_gatt_EJB2_V1.pep.all.fa,1296103,DNA,1
Cryptococcus_gattii_nt_10.Cryp_gatt_NT-10_V1.pep.all.fa,1296108,DNA,1
Cryptococcus_gattii_ru294.Cryp_gatt_Ru294_V1.pep.all.fa,1296112,DNA,1
Cryptococcus_gattii_vgii_2001_935_1.Cryp_gatt_2001_935-1_V1.pep.all.fa,1334442,DNA,1
Cryptococcus_gattii_vgii_99_473.Cryp_gatt_99_473_V1.pep.all.fa,1296104,DNA,1
Cryptococcus_gattii_vgii_ca1014.Cryp_gatt_CA1014_V1.pep.all.fa,1296107,DNA,1
Cryptococcus_gattii_vgii_cbs_10090.Cryp_gatt_CBS10090_V1.pep.all.fa,1296101,DNA,1
Cryptococcus_gattii_vgii_la55.Cryp_gatt_LA55_V1.pep.all.fa,1296106,DNA,1
Cryptococcus_gattii_vgii_mmrl2647.Cryp_gatt_MMRL2647_V2.pep.all.fa,1296117,DNA,1
Cryptococcus_gattii_vgii_r265.CNB2.pep.all.fa,294750,DNA,1
Cryptococcus_gattii_vgii_ram5.Cryp_gatt_Ram5_V1.pep.all.fa,1296110,DNA,1
Cryptococcus_gattii_vgiv_ind107.Cryp_gatt_IND107_V2.pep.all.fa,1296105,DNA,1
Cryptococcus_gattii_wm276.ASM18594v1.pep.all.fa,367775,DNA,1
Cryptococcus_neoformans_var_grubii_h99.CNA3.pep.all.fa,235443,DNA,1
Cryptococcus_neoformans_var_neoformans_b_3501a.ASM14938v1.pep.all.fa,283643,DNA,1
Cutaneotrichosporon_oleaginosus.Triol1.pep.all.fa,879819,DNA,1
Cyberlindnera_fabianii.ASM198330v1.pep.all.fa,36022,DNA,1
Cylindrobasidium_torrendii_fp15055_ss_10.Cylto1.pep.all.fa,1314674,DNA,1
Dacryopinax_primogenitus.Dacryopinax_sp._DJM_731_SSP1_v1.0.pep.all.fa,1858805,DNA,1
Dactylellina_haptotyla_cbs_200_50.MHA_v2.pep.all.fa,1284197,DNA,1
Daedalea_quercina_l_15889.Daequ1.pep.all.fa,1314783,DNA,1
Debaryomyces_fabryi.debFab1.0.pep.all.fa,58627,DNA,1
Debaryomyces_hansenii_cbs767.ASM644v2.pep.all.fa,284592,DNA,1
Diaporthe_ampelina.UCDDA912v1.0.pep.all.fa,1214573,DNA,1
Diaporthe_helianthi.ASM170239v1.pep.all.fa,158607,DNA,1
Dichomitus_squalens_lyad_421_ss1.Dichomitus_squalens_v1.0.pep.all.fa,732165,DNA,1
Diplodia_corticola.ASM188384v1.pep.all.fa,236234,DNA,1
Diplodia_seriata.UCDDS831v0.1.pep.all.fa,420778,DNA,1
Dothistroma_septosporum.GCA_000340195.1.pep.all.fa,675120,DNA,1
Drechmeria_coniospora.ASM162519v1.pep.all.fa,98403,DNA,1
Drechslerella_stenobrocha_248.DREv1.pep.all.fa,1043628,DNA,1
Edhazardia_aedis_usnm_41457.Edha_aedis_V4b.pep.all.fa,1003232,DNA,1
Emergomyces_pasteuriana_ep9510.Emmo_past_UAMH9510_V1.pep.all.fa,1447872,DNA,1
Emmonsia_crescens_uamh_3008.ASM100828v1.pep.all.fa,1247875,DNA,1
Emmonsia_parva_uamh_139.ASM101475v1.pep.all.fa,1246674,DNA,1
Emmonsia_sp_cac_2015a.Emmo_afri_EA111.pep.all.fa,1658172,DNA,1
Encephalitozoon_cuniculi_ecuniii_l.ECIIIL.pep.all.fa,1355160,DNA,1
Encephalitozoon_cuniculi_gb_m1.ASM9122v1.pep.all.fa,284813,DNA,1
Encephalitozoon_hellem_atcc_50504.ASM27781v3.pep.all.fa,907965,DNA,1
Encephalitozoon_intestinalis_atcc_50506.ASM14646v1.pep.all.fa,876142,DNA,1
Encephalitozoon_romaleae_sj_2008.ASM28003v2.pep.all.fa,1178016,DNA,1
Endocarpon_pusillum_z07020.EPUS.pep.all.fa,1263415,DNA,1
Enterocytozoon_bieneusi_h348.ASM20948v1.pep.all.fa,481877,DNA,1
Enterocytozoon_hepatopenaei.ASM208167v1.pep.all.fa,646526,DNA,1
Enterospora_canceri.ASM208791v1.pep.all.fa,1081671,DNA,1
Eremothecium_cymbalariae_dbvpg_7215.ASM23536v1.pep.all.fa,931890,DNA,1
Eremothecium_gossypii_fdag1.ASM96883v1.pep.all.fa,1034331,DNA,1
Eremothecium_sinecaudum.ASM154855v1.pep.all.fa,45286,DNA,1
Erysiphe_necator.ASM79871v1.pep.all.fa,52586,DNA,1
Escovopsis_weberi.ASM127849v1.pep.all.fa,150374,DNA,1
Eutypa_lata_ucrel1.UCREL1V03.pep.all.fa,1287681,DNA,1
Exidia_glandulosa_hhb12029.Exigl1.pep.all.fa,1314781,DNA,1
Exophiala_aquamarina_cbs_119918.Exop_aqua_CBS_119918_V1.pep.all.fa,1182545,DNA,1
Exophiala_dermatitidis_nih_ut8656.Exop_derm_V1.pep.all.fa,858893,DNA,1
Exophiala_mesophila.Exop_meso_CBS40295_V1.pep.all.fa,212818,DNA,1
Exophiala_oligosperma.Exop_olig_CBS72588_V1.pep.all.fa,215243,DNA,1
Exophiala_sideris.Exop_side_CBS121828_V1.pep.all.fa,1016849,DNA,1
Exophiala_spinifera.Exop_spin_CBS89968_V1.pep.all.fa,91928,DNA,1
Exophiala_xenobiotica.Exop_xeno_CBS118157_V1.pep.all.fa,348802,DNA,1
Fibroporia_radiculosa.ASM31352v1.pep.all.fa,1078123,DNA,1
Fibulorhizoctonia_sp_cbs_109695.Fibsp1.pep.all.fa,436010,DNA,1
Fistulina_hepatica_atcc_64428.Fishe1.pep.all.fa,1128425,DNA,1
Fomitiporia_mediterranea_mf3_22.Fomme1.pep.all.fa,694068,DNA,1
Fomitopsis_pinicola_fp_58527_ss1.Fompi3.pep.all.fa,743788,DNA,1
Fonsecaea_erecta.ASM165198v1.pep.all.fa,1367422,DNA,1
Fonsecaea_monophora.ASM164247v1.pep.all.fa,254056,DNA,1
Fonsecaea_multimorphosa.ASM164698v1.pep.all.fa,979981,DNA,1
Fonsecaea_multimorphosa_cbs_102226.Fons_mult_CBS_102226_V1.pep.all.fa,1442371,DNA,1
Fonsecaea_nubica.ASM164696v1.pep.all.fa,856822,DNA,1
Fonsecaea_pedrosoi_cbs_271_37.Fons_pedr_CBS_271_37_V1.pep.all.fa,1442368,DNA,1
Fusarium_culmorum.EF1.pep.all.fa,1318462,DNA,1
Fusarium_graminearum.RR1.pep.all.fa,229533,DNA,1
Fusarium_langsethiae.ASM129263v1.pep.all.fa,179993,DNA,1
Fusarium_mangiferae.Genome_assembly_version_1.pep.all.fa,192010,DNA,1
Fusarium_oxysporum_fo47.FO_Fo47_V1.pep.all.fa,660027,DNA,1
Fusarium_oxysporum_fosc_3_a.FO_FOSC_3_a_V1.pep.all.fa,909455,DNA,1
Fusarium_oxysporum_f_sp_conglutinans_race_2_54008.FO_PHW808_V1.pep.all.fa,1089457,DNA,1
Fusarium_oxysporum_f_sp_cubense_race_1.Foc1_1.0.pep.all.fa,1229664,DNA,1
Fusarium_oxysporum_f_sp_cubense_race_4.Foc4_1.0.pep.all.fa,1229665,DNA,1
Fusarium_oxysporum_f_sp_cubense_tropical_race_4_54006.FO_II5_V1.pep.all.fa,1089451,DNA,1
Fusarium_oxysporum.FO2.pep.all.fa,426428,DNA,1
