Genus,species,,type,Synonym,Other,Origin,Version,Source,JGI ID,NCBI Tax ID,URL,PUMBMED ID
Achaetomium,strumarium,,,,CBS333.67,,,,Achstr1,79814,https://genome.jgi.doe.gov/portal/Achstr1/download/Achstr1_GeneCatalog_proteins_20171031.aa.fasta.gz,
Alternaria,rosae,,,,DTO 242-I4,,,,Altro1,1187941,https://genome.jgi.doe.gov/portal/Altro1/download/Altro1_GeneCatalog_proteins_20180320.aa.fasta.gz ,
Amylocystis,lapponica,,,,SKaAmylap13,,,,Amylap1_1,202700,https://genome.jgi.doe.gov/portal/Amylap1_1/download/Amylap1_1_GeneCatalog_proteins_20171107.aa.fasta.gz,
Apiosordaria,backusii,,,,CBS 540.89,,,,Apibac1,314023,https://genome.jgi.doe.gov/portal/Apibac1/download/Apibac1_GeneCatalog_proteins_20170729.aa.fasta.gz,
Apodospora,peruviana,,,,CBS 118394,,,,Apope1,516989,https://genome.jgi.doe.gov/portal/Apope1/download/Apope1_GeneCatalog_proteins_20171021.aa.fasta.gz,
Aspergillus,amylovorus,,,,CBS 600.67,,,,Aspamy1,176161,https://genome.jgi.doe.gov/portal/Aspamy1/download/Aspamy1_GeneCatalog_proteins_20160516.aa.fasta.gz,
Aspergillus,bisporus,,,,CBS 707.71,,,,Aspbisp1,41753,https://genome.jgi.doe.gov/portal/Aspbisp1/download/Aspbisp1_GeneCatalog_proteins_20160414.aa.fasta.gz,
Aspergillus,brevijanus,,,,CBS 111.46,,,,Aspbrev1,176172,https://genome.jgi.doe.gov/portal/Aspbrev1/download/Aspbrev1_GeneCatalog_proteins_20160412.aa.fasta.gz,
Aspergillus,candidus,,,,CBS 102.13,,,,Aspcand1,41067,https://genome.jgi.doe.gov/portal/Aspcand1/download/Aspcand1_GeneCatalog_proteins_20161018.aa.fasta.gz,29317534
Aspergillus,chevalieri,,,,CBS 522.65,,,,Aspchev1,182096,https://genome.jgi.doe.gov/portal/Aspchev1/download/Aspchev1_GeneCatalog_proteins_20160413.aa.fasta.gz,
Aspergillus,desertorum,,,,CBS 653.73,,,,Aspdese1,1810909,https://genome.jgi.doe.gov/portal/Aspdese1/download/Aspdese1_GeneCatalog_proteins_20160412.aa.fasta.gz,
Aspergillus,filifer,,,,CBS 114510,,,,Aspfili1,447248,https://genome.jgi.doe.gov/portal/Aspfili1/download/Aspfili1_GeneCatalog_proteins_20160412.aa.fasta.gz,
Aspergillus,funiculosus,,,,CBS 116.56,,,,Aspfuni1,176168,https://genome.jgi.doe.gov/portal/Aspfuni1/download/Aspfuni1_GeneCatalog_proteins_20160414.aa.fasta.gz,
Aspergillus,insolitus,,,,CBS 384.61,,,,Aspinso1,1131488,https://genome.jgi.doe.gov/portal/Aspinso1/download/Aspinso1_GeneCatalog_proteins_20160413.aa.fasta.gz,
Aspergillus,neoauricomus,,,,CBS112787,,,,Aspneoa1,1883083,https://genome.jgi.doe.gov/portal/Aspneoa1/download/Aspneoa1_GeneCatalog_proteins_20160629.aa.fasta.gz,
Aspergillus,sp.,,JGI-2018a,,CBS120.55,,,,Aspne1,2184044,https://genome.jgi.doe.gov/portal/Aspne1/download/Aspne1_GeneCatalog_proteins_20160629.aa.fasta.gz,
Aspergillus,parvulus,,,,CBS 136.61,,,,Aspparv1,41750,https://genome.jgi.doe.gov/portal/Aspparv1/download/Aspparv1_GeneCatalog_proteins_20160414.aa.fasta.gz,
Aspergillus,penicillioides,,,,CBS 540.65,,,,Asppeni1,41959,https://genome.jgi.doe.gov/portal/Asppeni1/download/Asppeni1_GeneCatalog_proteins_20160413.aa.fasta.gz,
Aspergillus,restrictus,,,,CBS 118.33,,,,Aspres1,5064,https://genome.jgi.doe.gov/portal/Aspres1/download/Aspres1_GeneCatalog_proteins_20160629.aa.fasta.gz,
Aspergillus,robustus,,,,CBS 428.77,,,,Asprobu1,138281,https://genome.jgi.doe.gov/portal/Asprobu1/download/Asprobu1_GeneCatalog_proteins_20160413.aa.fasta.gz,
Aspergillus,roseoglobulosus,,,,CBS112800,,,,Aspros1,1250373,https://genome.jgi.doe.gov/portal/Aspros1/download/Aspros1_GeneCatalog_proteins_20160629.aa.fasta.gz,
Aspergillus,saccharolyticus,,JOP 1030-1,,,,,,Aspsac1,1450539,https://genome.jgi.doe.gov/portal/Aspsac1/download/Aspsac1_GeneCatalog_proteins_20140605.aa.fasta.gz,
Aspergillus,sclerotiorum,,,,CBS 549.65,,,,Aspsc1,138282,https://genome.jgi.doe.gov/portal/Aspsc1/download/Aspsc1_GeneCatalog_proteins_20160516.aa.fasta.gz,
Aspergillus,stella-maris,,,,CBS 113639,,,,Aspstel1_1,1810926,https://genome.jgi.doe.gov/portal/Aspstel1_1/download/Aspstel1_1_GeneCatalog_proteins_20160404.aa.fasta.gz,
Aspergillus,stercoraria,,,,CBS 428.93,,,,Aspstec1_1,1883081,https://genome.jgi.doe.gov/portal/Aspstec1_1/download/Aspstec1_1_GeneCatalog_proteins_20160404.aa.fasta.gz,
Aspergillus,taichungensis,,,,IBT 19404,,,,Asptaic1,482145,https://genome.jgi.doe.gov/portal/Asptaic1/download/Asptaic1_GeneCatalog_proteins_20160414.aa.fasta.gz,29317534
Aspergillus,tritici,,,,CBS266.81,,,,Asptr1,478866,https://genome.jgi.doe.gov/portal/Asptr1/download/Asptr1_GeneCatalog_proteins_20160629.aa.fasta.gz,
Aspergillus,undulatus,,,,CBS 261.88,,,,Aspund1_1,1810928,https://genome.jgi.doe.gov/portal/Aspund1_1/download/Aspund1_1_GeneCatalog_proteins_20160404.aa.fasta.gz,
Aspergillus,unguis,,,,CBS132.55,,,,Aspung1,40381,https://genome.jgi.doe.gov/portal/Aspung1/download/Aspung1_GeneCatalog_proteins_20160614.aa.fasta.gz,
Aspergillus,venezuelensis,,,,CBS 868.97,,,,Aspven1,1810929,https://genome.jgi.doe.gov/portal/Aspven1/download/Aspven1_GeneCatalog_proteins_20160614.aa.fasta.gz,
Aspergillus,welwitschiae,,,,CBS139.54b,,,,Aspwel1,1341132,https://genome.jgi.doe.gov/portal/Aspwel1/download/Aspwel1_GeneCatalog_proteins_20160629.aa.fasta.gz,
Atractiella,rhizophila,,,Atractiellales rhizophila,,,,,Atrsp2,1938712,https://genome.jgi.doe.gov/portal/Atrsp2/download/Atrsp2_GeneCatalog_proteins_20130826.aa.fasta.gz,
Boeremia,exigua,,,,ZJUB106,,,,Boeex1,749465,https://genome.jgi.doe.gov/portal/Boeex1/download/Boeex1_GeneCatalog_proteins_20171129.aa.fasta.gz  ,
Caecomyces,sp.,,JH-2017a,Caecomyces churrovis A,A,,,,Caecom1,2019372,https://genome.jgi.doe.gov/portal/Caecom1/download/Caecom1_GeneCatalog_proteins_20171213.aa.fasta.gz ,
Cantharellus,anzutake,,,,C23,,,,Cananz1,1750568,https://genome.jgi.doe.gov/portal/Cananz1/download/Cananz1_GeneCatalog_proteins_20160317.aa.fasta.gz,
Caulochytrium,protostelioides,,,,ATCC 52028,,,,Caupr1,1555241,https://genome.jgi.doe.gov/portal/Caupr1/download/Caupr1_GeneCatalog_proteins_20150107.aa.fasta.gz,
Cercophora,caudata,,,,CBS 606.72,,,,Cercau1,314043,https://genome.jgi.doe.gov/portal/Cercau1/download/Cercau1_GeneCatalog_proteins_20170822.aa.fasta.gz,
Cercophora,newfieldiana,,,,SMH2532-1,,,,Cernew1,92897,https://genome.jgi.doe.gov/portal/Cernew1/download/Cernew1_GeneCatalog_proteins_20170729.aa.fasta.gz,
Cercophora,scortea,,,,SMH4131-1,,,,Cersc1,314031,https://genome.jgi.doe.gov/portal/Cersc1/download/Cersc1_GeneCatalog_proteins_20171129.aa.fasta.gz,
Cerinomyces,ceraceus,,,,ATCC 56525,,,,Cercer1,1175230,https://genome.jgi.doe.gov/portal/Cercer1/download/Cercer1_GeneCatalog_proteins_20160510.aa.fasta.gz,
Chaetomium,fimeti,,,,CBS 168.71,,,,Chafi1,1854472,https://genome.jgi.doe.gov/portal/Chafi1/download/Chafi1_GeneCatalog_proteins_20180308.aa.fasta.gz ,
Cladochytrium,polystomum,,,,WB228,,,,Clapol1_1,1437435,https://genome.jgi.doe.gov/portal/Clapol1_1/download/Clapol1_1_GeneCatalog_proteins_20180327.aa.fasta.gz  ,
Coemansia,mojavensis,,,,RSA 71,,,,Coemoj1,4864,https://genome.jgi.doe.gov/portal/Coemoj1/download/Coemoj1_GeneCatalog_proteins_20180326.aa.fasta.gz ,
Crassisporium,funariophilum,,,,DOB1098,,,,Crafun1,1954473,https://genome.jgi.doe.gov/portal/Crafun1/download/Crafun1_GeneCatalog_proteins_20170607.aa.fasta.gz,
Valsa,sordida,,,Cytospora chrysosperma,,,,,Cytch1,252740,https://genome.jgi.doe.gov/portal/Cytch1/download/Cytch1_GeneCatalog_proteins_20171014.aa.fasta.gz,
Dendryphion,nanum,,,,29,,,,Denna1,256645,https://genome.jgi.doe.gov/portal/Denna1/download/Denna1_GeneCatalog_proteins_20180321.aa.fasta.gz ,
Dimargaris,cristalligena,,,,RSA 468,,,,DimcrSC1,215637,https://genome.jgi.doe.gov/portal/DimcrSC1/download/DimcrSC1_GeneCatalog_proteins_20151223.aa.fasta.gz,
Earliella,scabrosa,,,,CIRM-BRFM 1817,,,,Earsca1,239200,https://genome.jgi.doe.gov/portal/Earsca1/download/Earsca1_GeneCatalog_proteins_20171018.aa.fasta.gz,
Exobasidium,maculosum,,,,A7-4,,,,Exomac1,1493668,https://genome.jgi.doe.gov/portal/Exomac1/download/Exomac1_GeneCatalog_proteins_20171101.aa.fasta.gz,
Exophiala,alcalophila,,,,J33,,,,Exoalc1_J33,91920,https://genome.jgi.doe.gov/portal/Exoalc1_J33/download/Exoalc1_J33_GeneCatalog_proteins_20160520.aa.fasta.gz,
Piptoporus,betulinus,,,Fomitopsis betulina CIRM-BRFM 1772,CIRM-BRFM 1772,,,,Pipbet1_1,40450,https://genome.jgi.doe.gov/portal/Pipbet1_1/download/Pipbet1_1_GeneCatalog_proteins_20171124.aa.fasta.gz,
Fomitopsis,rosea,,,,Sig1Fomros20-ss,,,,Fomro1,34475,https://genome.jgi.doe.gov/portal/Fomro1/download/Fomro1_GeneCatalog_proteins_20180323.aa.fasta.gz ,
Golovinomyces,cichoracearum,,,,UCSC1,,,,Golci1,62708,https://genome.jgi.doe.gov/portal/Golci1/download/Golci1_GeneCatalog_proteins_20171201.aa.fasta.gz ,
Herpotrichia,sp.,,,,AK1299,,,,Herpot1_1,1755428,https://genome.jgi.doe.gov/portal/Herpot1_1/download/Herpot1_1_GeneCatalog_proteins_20180323.aa.fasta.gz ,
Irpex,lacteus,,,,CCBAS Fr. 238 617/93,,,,Irplac1,5319,https://genome.jgi.doe.gov/portal/Irplac1/download/Irplac1_GeneCatalog_proteins_20170103.aa.fasta.gz,
Lasiosphaeria,ovina,,,,CBS 958.72,,,,Lasov1,92902,https://genome.jgi.doe.gov/portal/Lasov1/download/Lasov1_GeneCatalog_proteins_20171021.aa.fasta.gz,
Lasiosphaeriaceae,sp.,,,,AZ0830,,,,Bombar1,1868209,https://genome.jgi.doe.gov/portal/Bombar1/download/Bombar1_GeneCatalog_proteins_20180327.aa.fasta.gz ,
Lasiosphaeris,hirsuta,,,,SMH4607-1,,,,Lashir1,260670,https://genome.jgi.doe.gov/portal/Lashir1/download/Lashir1_GeneCatalog_proteins_20170729.aa.fasta.gz,
Leiotrametes,menziesii,,,,CIRM-BRFM 1781,,,,Tramen1,2136021,https://genome.jgi.doe.gov/portal/Tramen1/download/Tramen1_GeneCatalog_proteins_20170906.aa.fasta.gz,
Lentinula,edodes,,,,Le(Bin) 899 ss11,,,,Lenedo1,5353,https://genome.jgi.doe.gov/portal/Lenedo1/download/Lenedo1_GeneCatalog_proteins_20170719.aa.fasta.gz,
Lentinula,lateritia,,,,RHP3577 ss4,,,,Lenlat1,40482,https://genome.jgi.doe.gov/portal/Lenlat1/download/Lenlat1_GeneCatalog_proteins_20170901.aa.fasta.gz,
Lentinula,raphanica,,,,INPA1701G ss19,,,,Lenrap1,153919,https://genome.jgi.doe.gov/portal/Lenrap1/download/Lenrap1_GeneCatalog_proteins_20170901.aa.fasta.gz,
Leotiomycetes,sp.,,,,MPI-SDFR-AT-0126,,,,Phimu1,1709938,https://genome.jgi.doe.gov/portal/Phimu1/download/Phimu1_GeneCatalog_proteins_20171129.aa.fasta.gz ,
Cadophora,orchidicola,,,Leptodontidium orchidicola ZT98,,,,,Lepor2,1732013,https://genome.jgi.doe.gov/portal/Lepor2/download/Lepor2_GeneCatalog_proteins_20171210.aa.fasta.gz ,
Lobaria,pulmonaria,,,,Scotland,,,,Lobpul1,86794,https://genome.jgi.doe.gov/portal/Lobpul1/download/Lobpul1_GeneCatalog_proteins_20170213.aa.fasta.gz,
Macrophomina,phaseolina,,,,39R(3),,,,Macph1,35725,https://genome.jgi.doe.gov/portal/Macph1/download/Macph1_GeneCatalog_proteins_20131211.aa.fasta.gz,
Mortierella,elongata,,,,NEFU14,,,,Morel2,310910,https://genome.jgi.doe.gov/portal/Morel2/download/Morel2_GeneCatalog_proteins_20151120.aa.fasta.gz,
Mycena,albidolilacea,,,,CBHHK002,,,,Mycalb1,1033008,https://genome.jgi.doe.gov/portal/Mycalb1/download/Mycalb1_GeneCatalog_proteins_20180325.aa.fasta.gz,
Mycena,alexandri,,,,CBHHK200,,,,Mycale1,1745969,https://genome.jgi.doe.gov/portal/Mycale1/download/Mycale1_GeneCatalog_proteins_20171027.aa.fasta.gz,
Mycena,amicta,,,,BAPX,,,,Mycami1,380012,https://genome.jgi.doe.gov/portal/Mycami1/download/Mycami1_GeneCatalog_proteins_20171027.aa.fasta.gz,
Mycena,belliae,,,,CBHHK173m,,,,Mycbel1,1033014,https://genome.jgi.doe.gov/portal/Mycbel1/download/Mycbel1_GeneCatalog_proteins_20171013.aa.fasta.gz,
Mycena,crocata,,,,CBHHK184,,,,Myccro1,220801,https://genome.jgi.doe.gov/portal/Myccro1/download/Myccro1_GeneCatalog_proteins_20171013.aa.fasta.gz,
Mycena,epipterygia,,,,CBHHK145m,,,,Mycepi1,230806,https://genome.jgi.doe.gov/portal/Mycepi1/download/Mycepi1_GeneCatalog_proteins_20171002.aa.fasta.gz,
Mycena,filopes,,,,CBHHK001,,,,Mycfil1,858877,https://genome.jgi.doe.gov/portal/Mycfil1/download/Mycfil1_GeneCatalog_proteins_20171109.aa.fasta.gz,
Mycena,floridula,,,,CBHHK072,,,,Mycflo1,1033242,https://genome.jgi.doe.gov/portal/Mycflo1/download/Mycflo1_GeneCatalog_proteins_20171028.aa.fasta.gz,
Mycena,rebaudengoi,,,,CBHHK068,,,,Mycreb1,1045383,https://genome.jgi.doe.gov/portal/Mycreb1/download/Mycreb1_GeneCatalog_proteins_20171023.aa.fasta.gz,
Mycena,sanguinolenta,,,,CBHHK176m,,,,Mycsan1,230812,https://genome.jgi.doe.gov/portal/Mycsan1/download/Mycsan1_GeneCatalog_proteins_20171021.aa.fasta.gz,
Mycena,vitilis,,,,CBHHK169m,,,,Mycvit1,1033281,https://genome.jgi.doe.gov/portal/Mycvit1/download/Mycvit1_GeneCatalog_proteins_20171013.aa.fasta.gz,
Neurospora,hispaniola,,,,FGSC 10403,,,,Neuhi1,588809,https://genome.jgi.doe.gov/portal/Neuhi1/download/Neuhi1_GeneCatalog_proteins_20171014.aa.fasta.gz,
Neurospora,tetrasperma,,FGSC 2509,,mat a,,,,Ntetrasperma_mata,510952,https://genome.jgi.doe.gov/portal/Ntetrasperma_mata/download/Ntetrasperma_mata.FilteredModels1.proteins.fasta.gz,
Obelidium,mucronatum,,,,JEL802,,,,Obemuc1,110081,https://genome.jgi.doe.gov/portal/Obemuc1/download/Obemuc1_GeneCatalog_proteins_20171120.aa.fasta.gz,
Oliveonia,pauxilla,,,,KC1149,,,,Olipa1,1026881,https://genome.jgi.doe.gov/portal/Olipa1/download/Olipa1_GeneCatalog_proteins_20171127.aa.fasta.gz,
Byssochlamys,nivea,,,Paecilomyces niveus CO7,,,,,Bysni1,5093,https://genome.jgi.doe.gov/portal/Bysni1/download/Bysni1_GeneCatalog_proteins_20180319.aa.fasta.gz  ,
Paraphoma,chrysanthemicola,,,,PD 92/468,,,,Parch1,798071,https://genome.jgi.doe.gov/portal/Parch1/download/Parch1_GeneCatalog_proteins_20171014.aa.fasta.gz,
Paraphysoderma,sedebokerense,,,,JEL821,,,,Parsed1,1500003,https://genome.jgi.doe.gov/portal/Parsed1/download/Parsed1_GeneCatalog_proteins_20170905.aa.fasta.gz,
Penicillium,swiecickii,,,,182 6C1,,,,Penswi1,1295096,https://genome.jgi.doe.gov/portal/Penswi1/download/Penswi1_GeneCatalog_proteins_20171024.aa.fasta.gz,
Peziza,echinospora,,,,DOB1120,,,,Pezech1,61495,https://genome.jgi.doe.gov/portal/Pezech1/download/Pezech1_GeneCatalog_proteins_20180326.aa.fasta.gz ,
Phaeosphaeria,poagena,,,,CBS 136771,,,,Phapo1,1508275,https://genome.jgi.doe.gov/portal/Phapo1/download/Phapo1_GeneCatalog_proteins_20180321.aa.fasta.gz ,
Phellinus,igniarius,,,,CCBS 575,,,,Pheign1_1,40472,https://genome.jgi.doe.gov/portal/Pheign1_1/download/Pheign1_1_GeneCatalog_proteins_20180321.aa.fasta.gz,
Phellopilus,nigrolimitatus,,,,SigPhenig9,,,,Pheni1,127956,https://genome.jgi.doe.gov/portal/Pheni1/download/Pheni1_GeneCatalog_proteins_20180304.aa.fasta.gz ,
Pholiota,highlandensis,,,,,,,,Phohig1,181755,https://genome.jgi.doe.gov/portal/Phohig1/download/Phohig1_GeneCatalog_proteins_20171206.aa.fasta.gz  ,
Phycomyces,nitens,,,,S607,,,,PnitS607_1,269771,https://genome.jgi.doe.gov/portal/PnitS607_1/download/PnitS607_1_GeneCatalog_proteins_20170410.aa.fasta.gz,
Piptocephalis,cylindrospora,,,,RSA 2659,,,,Pipcy3_1,1907219,https://genome.jgi.doe.gov/portal/Pipcy3_1/download/Pipcy3_1_GeneCatalog_proteins_20160615.aa.fasta.gz,
Plectosphaerella,cucumerina,,,,RP01,,,,Plecuc1,40658,https://genome.jgi.doe.gov/portal/Plecuc1/download/Plecuc1_GeneCatalog_proteins_20171208.aa.fasta.gz,
Podospora,didyma,,,,CBS 232.78,,,,Poddi1,330526,https://genome.jgi.doe.gov/portal/Poddi1/download/Poddi1_GeneCatalog_proteins_20171014.aa.fasta.gz,
Polyporus,squamosus,,,,CCBS 676,,,,Polsqu1,5640,https://genome.jgi.doe.gov/portal/Polsqu1/download/Polsqu1_GeneCatalog_proteins_20170821.aa.fasta.gz,
Pseudomicrostroma,glucosiphilum,,,,gen et sp. nov. MCA 4718,,,,Rhodsp1,1684307,https://genome.jgi.doe.gov/portal/Rhodsp1/download/Rhodsp1_GeneCatalog_proteins_20150111.aa.fasta.gz,
Psilocybe,cubensis,,,,,,,,Psicub1_1,181762,https://genome.jgi.doe.gov/portal/Psicub1_1/download/Psicub1_1_GeneCatalog_proteins_20180416.aa.fasta.gz,28763571
Puccinia,coronata,,,,avenae 12NC29,,,,PuccoNC29_1,860303,https://genome.jgi.doe.gov/portal/PuccoNC29_1/download/PuccoNC29_1_GeneCatalog_proteins_20170808.aa.fasta.gz,28846186
Rhexocercosporidium,sp.,,,,MPI-PUGE-AT-0058,,,,Rhesp1,1756112,https://genome.jgi.doe.gov/portal/Rhesp1/download/Rhesp1_GeneCatalog_proteins_20171207.aa.fasta.gz,
Fomitopsis,rosea,,,Rhodofomes roseus CIRM-BRFM 1785,CIRM-BRFM 1785,,,,Fomros1,34475,https://genome.jgi.doe.gov/portal/Fomros1/download/Fomros1_GeneCatalog_proteins_20171027.aa.fasta.gz,
Rhodotorula,toruloides,,NP11,,,,,,Rhoto1,1130832,https://genome.jgi.doe.gov/portal/Rhoto1/download/Rhoto1_GeneCatalog_proteins_20141208.aa.fasta.gz,23047670
Russula,ochroleuca,,,,Prilba,,,,Rusoch1,152965,https://genome.jgi.doe.gov/portal/Rusoch1/download/Rusoch1_GeneCatalog_proteins_20180325.aa.fasta.gz ,
Scytinostroma,sp.,,,,KUC9335,,,,Scysp1_1,2024391,https://genome.jgi.doe.gov/portal/Scysp1_1/download/Scysp1_1_GeneCatalog_proteins_20160715.aa.fasta.gz,
Serendipita,sp.,,,,407,,,,Serend1,1965286,https://genome.jgi.doe.gov/portal/Serend1/download/Serend1_GeneCatalog_proteins_20171109.aa.fasta.gz,
Serendipita,vermifera,,,,ssp. bescii NFPB0129,,,,Sebvebe1,109899,https://genome.jgi.doe.gov/portal/Sebvebe1/download/Sebvebe1_GeneCatalog_proteins_20150401.aa.fasta.gz,
Sordaria,brevicollis,,,,FGSC1904,,,,Sorbr1,83679,https://genome.jgi.doe.gov/portal/Sorbr1/download/Sorbr1_GeneCatalog_proteins_20171129.aa.fasta.gz,
Suillus,cothurnatus,,,,VC 1858,,,,Suicot1,48568,https://genome.jgi.doe.gov/portal/Suicot1/download/Suicot1_GeneCatalog_proteins_20171209.aa.fasta.gz,
Suillus,subalutaceus,,,,FC151,,,,Suisu1,48586,https://genome.jgi.doe.gov/portal/Suisu1/download/Suisu1_GeneCatalog_proteins_20180325.aa.fasta.gz ,
Suillus,subaureus,,,,MN1,,,,Suisub1,48587,https://genome.jgi.doe.gov/portal/Suisub1/download/Suisub1_GeneCatalog_proteins_20170827.aa.fasta.gz,
Syncephalis,pseudoplumigaleata,,,,Benny S71-1,,,,Synps1,1712513,https://genome.jgi.doe.gov/portal/Synps1/download/Synps1_GeneCatalog_proteins_20160128.aa.fasta.gz,
Thamnocephalis,sphaerospora,,,,RSA 1356,,,,Thasp1,78915,https://genome.jgi.doe.gov/portal/Thasp1/download/Thasp1_GeneCatalog_proteins_20160203.aa.fasta.gz,
Trametes,maxima,,,,CIRM-BRFM 1813,,,,Tramax1,259368,https://genome.jgi.doe.gov/portal/Tramax1/download/Tramax1_GeneCatalog_proteins_20170721.aa.fasta.gz,
Trametes,polyzona,,,,CIRM-BRFM 1798,,,,Trapol1,239206,https://genome.jgi.doe.gov/portal/Trapol1/download/Trapol1_GeneCatalog_proteins_20170925.aa.fasta.gz,
Tricharina,praecox,,,,DOB2270,,,,Tripra1,43433,https://genome.jgi.doe.gov/portal/Tripra1/download/Tripra1_GeneCatalog_proteins_20180307.aa.fasta.gz ,
Tulasnella,calospora,,,,UAMH 9824,,,,Tulca1,156515,https://genome.jgi.doe.gov/portal/Tulca1/download/Tulca1_GeneCatalog_proteins_20120608.aa.fasta.gz,
Umbelopsis,isabellina,,,,AD026,,,,Umbisa1,91625,https://genome.jgi.doe.gov/portal/Umbisa1/download/Umbisa1_GeneCatalog_proteins_20171025.aa.fasta.gz,
Umbelopsis,ramanniana,,,,AG #,,,,Umbra1,41833,https://genome.jgi.doe.gov/portal/Umbra1/download/Umbra1_GeneCatalog_proteins_20121109.aa.fasta.gz,
Urocystis,primulicola,,,,RUB 030670,,,,Uropr1,2183100,https://genome.jgi.doe.gov/portal/Uropr1/download/Uropr1_GeneCatalog_proteins_20180221.aa.fasta.gz ,
Vuilleminia,comedens,,,,VcCUCC2015_SSI3,,,,Vuicom1,47058,https://genome.jgi.doe.gov/portal/Vuicom1/download/Vuicom1_GeneCatalog_proteins_20170111.aa.fasta.gz,
Wallemia,mellicola,,,,,,,,Walse1,1708541,https://genome.jgi.doe.gov/portal/Walse1/download/Walse1_GeneCatalog_proteins_20100910.aa.fasta.gz,22326418
