Scheffersomyces,stipitis,NRRL Y-11545
Stagonospora,nodorum,SN15 
Neurospora,tetrasperma,FGSC 2509 mat a
Wallemia,mellicola,
Rhodosporidium,toruloides,NP11 
Rhodosporidium,toruloides,IFO0559_1 
Rhodosporidium,toruloides,IFO0880 
Rhodosporidium,toruloides,IFO1236_1 
Smittium,culicis,GSMNP 
Smittium,culicis,ID-206-W2 
Capronia,semiimmersa,CBS27337 
Psilocybe,cubensis,
Puccinia,coronata,avenae 12NC29
Puccinia,coronata,avenae 12SD80
Serpula,himantioides,MUCL38935 
Aspergillus,candidus,CBS 102.13
Aspergillus,taichungensis,IBT 19404
Rhizophagus,irregularis,A1 
Rhizophagus,irregularis,A4 
Rhizophagus,irregularis,A5 
Rhizophagus,irregularis,B3 
Rhizophagus,irregularis,C2 
Rhizophagus,irregularis,DAOM 197198
Rhodosporidium,toruloides,IFO0880 
Abortiporus,biennis,CIRM-BRFM1778 
Absidia,padenii,NRRL 2977
Achaetomium,strumarium,CBS333.67 
Agaricostilbum,hyphaenes,ATCC MYA-4628 
Alternaria,rosae,DTO 242-I4
Amylocystis,lapponica,SKaAmylap13 
Apiosordaria,backusii,CBS 540.89
Apodospora,peruviana,CBS 118394
Aporpium,caryae,L-13461 
Arthroascus,fermentans,17710
Artolenzites,elegans,CIRM-BRFM 1122
Artolenzites,elegans,CIRM-BRFM 1663
Aspergillus,amylovorus,CBS 600.67
Aspergillus,bisporus,CBS 707.71
Aspergillus,brevijanus,CBS 111.46
Aspergillus,chevalieri,CBS 522.65
Aspergillus,desertorum,CBS 653.73
Aspergillus,filifera,CBS 114510
Aspergillus,funiculosus,CBS 116.56
Aspergillus,insolitus,CBS 384.61
Aspergillus,neoauricomus,CBS112787 
Aspergillus,neoechinulatus,CBS120.55 
Aspergillus,parvulus,CBS 136.61
Aspergillus,penicilloides,CBS 540.65
Aspergillus,restrictus,CBS 118.33
Aspergillus,robustus,CBS 428.77
Aspergillus,roseoglobulosus,CBS112800 
Aspergillus,saccharolyticus,JOP 1030-1
Aspergillus,sclerotiorum,CBS 549.65
Aspergillus,stella-maris,CBS 113639
Aspergillus,stercoraria,CBS 428.93
Aspergillus,triticus,CBS266.81 
Aspergillus,undulatus,CBS 261.88
Aspergillus,unguis,CBS132.55 
Aspergillus,venezuelensis,CBS 868.97
Aspergillus,welwitschiae,CBS139.54b 
Atractiellales,rhizophila,
Boeremia,exigua,ZJUB106 
Caecomyces,churrovis,A 
Cantharellus,anzutake,C23 
Caulochytrium,protostelioides,ATCC 52028
Cercophora,caudata,CBS 606.72
Cercophora,newfieldiana,SMH2532-1 
Cercophora,scortea,SMH4131-1 
Cerinomyces,ceraceus,ATCC 56525
Chaetomidium,fimeti,CBS 168.71
Cladochytrium,polystomum,WB228 
Clitocybe,gibba,IJFM A808
Coemansia,mojavensis,RSA 71
Crassisporium,funariophilum,DOB1098 
Cytospora,chrysosperma,CFL2056 
Dendryphion,nanum,29
Dichomitus,squalens,CBS464.89 
Dichomitus,squalens,OM18370.1 
Dimargaris,cristalligena,RSA 468
Earliella,scabrosa,CIRM-BRFM 1817
Exobasidium,maculosum,A7-4 
Exophiala,alcalophila,J33 
Fomitopsis,betulina,CIRM-BRFM 1772
Fomitopsis,rosea,Sig1Fomros20-ss 
Fusarium,oxysporum,FOX64 
Golovinomyces,cichoracearum,UCSC1 
Herpotrichia,sp.,AK1299 
Irpex,lacteus,CCBAS Fr. 238 617/93
Lasiosphaeria,ovina,CBS 958.72
Lasiosphaeriaceae,sp.,AZ0830 
Lasiosphaeris,hirsuta,SMH4607-1 
Leiotrametes,menziesii,CIRM-BRFM 1781
Lentinula,afn.,lateritia sp2 HRB7682 ss15
Lentinula,edodes,Le(Bin) 899 ss11 
Lentinula,lateritia,RHP3577 ss4
Lentinula,raphanica,INPA1701G ss19
Leotiomycetes,sp.,MPI-SDFR-AT-0126 
Leptodontidium,orchidicola,ZT98 
Lobaria,pulmonaria,Africa 
Lobaria,pulmonaria,Scotland 
Lobaria,pulmonaria,Scotland 
Lobaria,pulmonaria,Spain 
Lobaria,pulmonaria,Switzerland 
Macrophomina,phaseolina,39R(3) 
Microbotryum,violaceum,p1A1 Lamole
Mortierella,elongata,NEFU14 
Mucor,cordense,RSA 1222
Mycena,albidolilacea,CBHHK002 
Mycena,alexandri,CBHHK200 
Mycena,amicta,BAPX 
Mycena,belliae,CBHHK173m 
Mycena,crocata,CBHHK184 
Mycena,epipterygia,CBHHK145m 
Mycena,filopes,CBHHK001 
Mycena,floridula,CBHHK072 
Mycena,rebaudengoi,CBHHK068 
Mycena,sanguinolenta,CBHHK176m 
Mycena,vitilis,CBHHK169m 
Neurospora,hispaniola,FGSC 10403
Obelidium,mucronatum,JEL802 
Oliveonia,pauxilla,KC1149 
Paecilomyces,niveus,CO7 
Paecilomyces,variotii,CBS 101075
Paraphoma,chrysanthemicola,PD 92/468
Paraphysoderma,sedebokerense,JEL821 
Penicillium,swiecickii,182 6C1
Peziza,echinospora,DOB1120 
Phaeosphaeria,poagena,CBS 136771
Phellinus,igniarius,CCBS 575
Phellopilus,nigrolimitatus,SigPhenig9 
Pholiota,highlandensis,
Phycomyces,nitens,S607 
Phycomyces,nitens,S608 
Phycomyces,nitens,S609 
Piptocephalis,cylindrospora,RSA 2659
Plectosphaerella,cucumerina,RP01 
Podospora,anserina,mat+ 
Podospora,didyma,CBS 232.78
Polyporus,squamosus,CCBS 676
Pseudomicrostroma,glucosiphilum,gen et sp. nov. MCA 4718
Puccinia,striiformis,f. sp. tritici 104 E137 A-
Pycnoporus,sanguineus,BRFM 1264
Rhexocercosporidium,sp.,MPI-PUGE-AT-0058 
Rhodofomes,roseus,CIRM-BRFM 1785
Rhodosporidium,toruloides,ATCC26217 
Russula,ochroleuca,Prilba 
Scytinostroma,sp.,KUC9335 
Serendipita,sp.,407
Serendipita,vermifera,ssp. bescii NFPB0129 
Sordaria,brevicollis,FGSC1904 
Suillus,cothurnatus,VC 1858
Suillus,subalutaceus,FC151 
Suillus,subaureus,MN1 
Syncephalis,pseudoplumigaleata,Benny S71-1
Thamnocephalis,sphaerospora,RSA 1356
Trametes,maxima,CIRM-BRFM 1813
Trametes,polyzona,CIRM-BRFM 1798
Tricharina,praecox,DOB2270 
Tulasnella,calospora,UAMH 9824
Umbelopsis,isabellina,AD026 
Umbelopsis,ramanniana,AG #
Urocystis,primulicola,RUB 30670
Vuilleminia,comedens,VcCUCC2015_SSI3 
